,VIX,DXY,VIX_ret,DXY_ret,rolling_corr,rolling_corr_mean,rolling_corr_std,corr_z_score
2013-02-18,42.666666666666664,80.627,0.1594202898550725,0.0005832712831967957,-0.10080883644825436,,,
2013-02-19,38.266666666666666,80.468,-0.10312500000000002,-0.00197204410433216,-0.10466929195464326,,,
2013-02-20,39.733333333333334,81.069,0.03832752613240431,0.007468807476263883,-0.09777570792539067,,,
2013-02-21,48.66666666666667,81.461,0.22483221476510074,0.004835387139350278,-0.07158566492530993,,,
2013-02-22,54.8,81.482,0.1260273972602739,0.0002577920722799387,-0.07715241628200716,,,
2013-02-25,51.866666666666674,81.67,-0.05352798053527963,0.0023072580447216495,-0.08293210801684557,,,
2013-02-26,67.73333333333333,81.87,0.3059125964010281,0.002448879637565904,-0.06570415000818412,,,
2013-02-27,64.8,81.602,-0.04330708661417326,-0.0032734823500671917,-0.06528982554428435,,,
2013-02-28,55.6,81.949,-0.14197530864197527,0.004252346756206782,-0.06670457639241835,,,
2013-03-01,57.6,82.313,0.03597122302158273,0.004441786965063699,-0.06577703209689452,,,
2013-03-04,59.2,82.195,0.0277777777777779,-0.001433552415778916,-0.07292543197682942,,,
2013-03-05,53.866666666666674,82.087,-0.09009009009009006,-0.0013139485370154969,-0.07532181873964297,,,
2013-03-06,47.6,82.459,-0.11633663366336644,0.0045317772607111895,-0.11778844667296125,,,
2013-03-07,46.4,82.081,-0.025210084033613467,-0.004584096338786536,-0.10307136729277283,,,
2013-03-08,38.93333333333333,82.696,-0.16091954022988508,0.007492598774381243,-0.1345835371274899,,,
2013-03-11,36.8,82.573,-0.0547945205479452,-0.0014873754474219458,-0.12773000589841527,,,
2013-03-12,39.6,82.584,0.07608695652173925,0.00013321545783751,-0.14106360405713225,,,
2013-03-13,42.0,82.889,0.06060606060606055,0.0036932093383705844,-0.14962832462052525,,,
2013-03-14,43.333333333333336,82.606,0.031746031746031855,-0.003414204538599863,-0.14512310915867424,,,
2013-03-15,42.4,82.261,-0.021538461538461617,-0.0041764520736992106,-0.15193840396980118,,,
2013-03-18,43.733333333333334,82.694,0.03144654088050314,0.005263733725580755,-0.15084195133365802,,,
2013-03-19,53.73333333333333,82.989,0.22865853658536572,0.0035673688538466752,-0.13346660622484433,,,
2013-03-20,60.0,82.779,0.11662531017369737,-0.0025304558435456093,-0.14202646390990428,,,
2013-03-21,51.6,82.74,-0.14,-0.0004711339832565997,-0.13629383458179406,,,
2013-03-22,57.2,82.376,0.10852713178294571,-0.004399323181048964,-0.14415691609299922,,,
